date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,45500.0,45570.0,44990.0,45080.0,189194,325160,45250.0,铜,金属类,SHFE,CU0
2015-01-06,44210.0,44910.0,43980.0,44800.0,447986,310542,44570.0,铜,金属类,SHFE,CU0
2015-01-07,44640.0,44840.0,44420.0,44650.0,317816,301058,44660.0,铜,金属类,SHFE,CU0
2015-01-08,44650.0,44890.0,44580.0,44680.0,208524,297932,44740.0,铜,金属类,SHFE,CU0
2015-01-09,45000.0,45050.0,44250.0,44250.0,384066,308602,44550.0,铜,金属类,SHFE,CU0
2015-01-12,44100.0,44450.0,43790.0,43960.0,403724,307588,44140.0,铜,金属类,SHFE,CU0
2015-01-13,43400.0,43720.0,42880.0,42890.0,404006,315628,43360.0,铜,金属类,SHFE,CU0
2015-01-14,42300.0,42700.0,41190.0,41190.0,408472,309766,42150.0,铜,金属类,SHFE,CU0
2015-01-15,40600.0,41230.0,39820.0,40920.0,1020638,312866,40520.0,铜,金属类,SHFE,CU0
2015-01-16,41320.0,41710.0,40570.0,41040.0,656280,303626,41070.0,铜,金属类,SHFE,CU0
2015-01-19,40850.0,41910.0,40750.0,41770.0,517860,287290,41400.0,铜,金属类,SHFE,CU0
2015-01-20,41200.0,41590.0,41020.0,41250.0,418760,276198,41340.0,铜,金属类,SHFE,CU0
2015-01-21,41510.0,41590.0,41110.0,41260.0,351830,268638,41320.0,铜,金属类,SHFE,CU0
2015-01-22,41040.0,42180.0,40930.0,41560.0,526812,253644,41600.0,铜,金属类,SHFE,CU0
2015-01-23,41290.0,41620.0,40410.0,40750.0,480318,302022,40910.0,铜,金属类,SHFE,CU0
2015-01-26,40420.0,40540.0,38860.0,39250.0,715356,338392,39660.0,铜,金属类,SHFE,CU0
2015-01-27,39730.0,40730.0,39650.0,40260.0,604476,352686,40210.0,铜,金属类,SHFE,CU0
2015-01-28,40050.0,40210.0,39260.0,39690.0,687248,372070,39690.0,铜,金属类,SHFE,CU0
2015-01-29,39710.0,39960.0,39240.0,39310.0,602600,388784,39526.0,铜,金属类,SHFE,CU0
2015-01-30,39160.0,39520.0,38890.0,39090.0,647928,414782,39210.0,铜,金属类,SHFE,CU0
2015-02-02,39580.0,40370.0,39330.0,40290.0,586236,416396,39830.0,铜,金属类,SHFE,CU0
2015-02-03,40110.0,40830.0,40050.0,40760.0,543294,400826,40440.0,铜,金属类,SHFE,CU0
2015-02-04,41150.0,41980.0,40840.0,41160.0,616042,384294,41260.0,铜,金属类,SHFE,CU0
2015-02-05,41360.0,41540.0,40930.0,41000.0,573146,390944,41190.0,铜,金属类,SHFE,CU0
2015-02-06,40870.0,41710.0,40790.0,41670.0,522050,367218,41320.0,铜,金属类,SHFE,CU0
2015-02-09,41400.0,41600.0,41040.0,41260.0,442210,341890,41310.0,铜,金属类,SHFE,CU0
2015-02-10,41280.0,41530.0,41080.0,41320.0,300508,326612,41320.0,铜,金属类,SHFE,CU0
2015-02-11,40990.0,41270.0,40860.0,41100.0,358612,294416,41040.0,铜,金属类,SHFE,CU0
2015-02-12,41200.0,41240.0,40840.0,41110.0,280814,287330,41040.0,铜,金属类,SHFE,CU0
2015-02-13,41330.0,42280.0,41240.0,42120.0,429840,270008,41730.0,铜,金属类,SHFE,CU0
2015-02-16,41930.0,42250.0,41720.0,42220.0,239460,252100,41910.0,铜,金属类,SHFE,CU0
2015-02-17,42100.0,42290.0,41950.0,42200.0,154340,236648,42100.0,铜,金属类,SHFE,CU0
2015-02-25,42240.0,42380.0,42020.0,42150.0,12426,82160,42150.0,铜,金属类,SHFE,CU0
2015-02-26,41940.0,42610.0,41850.0,42510.0,301590,313040,42190.0,铜,金属类,SHFE,CU0
2015-02-27,42810.0,42930.0,42450.0,42730.0,417708,334112,42690.0,铜,金属类,SHFE,CU0
2015-03-02,42600.0,43280.0,42370.0,43200.0,402994,320530,42830.0,铜,金属类,SHFE,CU0
2015-03-03,42890.0,43220.0,42430.0,42540.0,403956,324956,42800.0,铜,金属类,SHFE,CU0
2015-03-04,42480.0,42560.0,42120.0,42460.0,279060,328168,42400.0,铜,金属类,SHFE,CU0
2015-03-05,42580.0,42620.0,42140.0,42500.0,313682,333640,42420.0,铜,金属类,SHFE,CU0
2015-03-06,42420.0,42720.0,42070.0,42200.0,321600,339796,42390.0,铜,金属类,SHFE,CU0
2015-03-09,42250.0,42350.0,41670.0,42300.0,455574,322428,42000.0,铜,金属类,SHFE,CU0
2015-03-10,42320.0,42760.0,42210.0,42230.0,374268,319692,42510.0,铜,金属类,SHFE,CU0
2015-03-11,42060.0,42320.0,41910.0,42080.0,309400,315952,42100.0,铜,金属类,SHFE,CU0
2015-03-12,42040.0,42610.0,41800.0,42560.0,456438,311016,42090.0,铜,金属类,SHFE,CU0
2015-03-13,42710.0,43000.0,42400.0,42840.0,415176,302458,42690.0,铜,金属类,SHFE,CU0
2015-03-16,42700.0,42850.0,42440.0,42810.0,299488,300712,42620.0,铜,金属类,SHFE,CU0
2015-03-17,42600.0,42960.0,42260.0,42430.0,363952,291280,42650.0,铜,金属类,SHFE,CU0
2015-03-18,42040.0,42420.0,41590.0,41620.0,392596,289070,42120.0,铜,金属类,SHFE,CU0
2015-03-19,41430.0,42790.0,41120.0,41720.0,406544,275844,41510.0,铜,金属类,SHFE,CU0
2015-03-20,42030.0,42500.0,41850.0,42040.0,367510,270656,42130.0,铜,金属类,SHFE,CU0
2015-03-23,42480.0,44050.0,42400.0,43570.0,559858,238238,43261.0,铜,金属类,SHFE,CU0
2015-03-24,43650.0,44690.0,43530.0,43850.0,459758,297482,43910.0,铜,金属类,SHFE,CU0
2015-03-25,43810.0,43940.0,43390.0,43680.0,413712,317368,43670.0,铜,金属类,SHFE,CU0
2015-03-26,43700.0,44000.0,43610.0,43930.0,419412,334338,43820.0,铜,金属类,SHFE,CU0
2015-03-27,44050.0,44340.0,43360.0,43770.0,560376,361418,43870.0,铜,金属类,SHFE,CU0
2015-03-30,43690.0,43990.0,43410.0,43830.0,431488,370238,43620.0,铜,金属类,SHFE,CU0
2015-03-31,43820.0,44070.0,43330.0,43350.0,421054,383528,43770.0,铜,金属类,SHFE,CU0
2015-04-01,43430.0,43670.0,43080.0,43260.0,407462,387568,43380.0,铜,金属类,SHFE,CU0
2015-04-02,43120.0,43630.0,43030.0,43520.0,435988,378180,43350.0,铜,金属类,SHFE,CU0
2015-04-03,43310.0,43450.0,43160.0,43280.0,273380,371554,43330.0,铜,金属类,SHFE,CU0
2015-04-07,43300.0,43560.0,43300.0,43480.0,116826,375402,43450.0,铜,金属类,SHFE,CU0
2015-04-08,43550.0,43820.0,43360.0,43460.0,272338,372156,43580.0,铜,金属类,SHFE,CU0
2015-04-09,43380.0,43540.0,43050.0,43310.0,238872,379268,43280.0,铜,金属类,SHFE,CU0
2015-04-10,43380.0,43570.0,43150.0,43530.0,235236,375940,43380.0,铜,金属类,SHFE,CU0
2015-04-13,43510.0,44000.0,43440.0,43630.0,305348,377486,43675.0,铜,金属类,SHFE,CU0
2015-04-14,43650.0,43710.0,42580.0,42860.0,361446,387860,43160.0,铜,金属类,SHFE,CU0
2015-04-15,42760.0,43180.0,42570.0,43000.0,330834,381474,42890.0,铜,金属类,SHFE,CU0
2015-04-16,42830.0,43510.0,42720.0,43340.0,274218,361406,43140.0,铜,金属类,SHFE,CU0
2015-04-17,43780.0,43950.0,43590.0,43690.0,295034,336706,43750.0,铜,金属类,SHFE,CU0
2015-04-20,43590.0,44200.0,43510.0,43870.0,245716,325646,43800.0,铜,金属类,SHFE,CU0
2015-04-21,43380.0,43500.0,43170.0,43370.0,248810,307216,43360.0,铜,金属类,SHFE,CU0
2015-04-22,43180.0,43430.0,43080.0,43310.0,184900,296946,43250.0,铜,金属类,SHFE,CU0
2015-04-23,43210.0,43390.0,42670.0,42990.0,273026,282348,43082.0,铜,金属类,SHFE,CU0
2015-04-24,43130.0,43440.0,43110.0,43310.0,202648,256692,43270.0,铜,金属类,SHFE,CU0
